,,,Suburbs ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Postcode,Population,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48
0800,800,4545,Darwin City,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0810,810,29723,Alawa,Brinkin,Casuarina (NT),Coconut Grove,Jingili,Lee Point,Lyons (NT),Millner,Moil,Muirhead,Nakara,Nightcliff,Rapid Creek,Tiwi,Wagaman,Wanguri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0812,812,19315,Anula,Holmes,Karama,Leanyer,Malak,Marrara,Wulagi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0820,820,19049,Bayview (NT),Coonawarra (NT),East Point,Eaton (NT),Fannie Bay,Larrakeyah,Ludmilla,Parap,Stuart Park,The Gardens (NT),The Narrows (NT),Winnellie,Woolner,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0822,822,24111,Acacia Hills (NT),Angurugu,Anindilyakwa,Bees Creek,Belyuen,Blackmore,Daly River,Douglas-Daly,East Arm,East Arnhem,Galiwinku,Gunbalanya,Hidden Valley (NT),Kakadu,Lambells Lagoon,Livingstone,Maningrida,Marrakai,McMinns Lagoon,Milikapiti,Milingimbi,Milyakburra,Nauiyu,Nemarluk,Nganmarriyanga,Numbulwar,Numburindi,Peppimenarti,Pirlangimpi,Ramingining,Rum Jungle,Thamarrurr,Tiwi Islands,Wadeye,Wagait Beach,Warruwi,West Arnhem,Wickham (NT),Wurrumiyanga,,,,,,,,,
0828,828,1696,Berrimah,Knuckey Lagoon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0829,829,1138,Holtze,Pinelands (NT),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0830,830,17977,Driver,Durack (NT),Farrar,Gray (NT),Marlow Lagoon,Moulden,Palmerston City,Shoal Bay (NT),Woodroffe,Yarrawonga (NT),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0832,832,9665,Bakewell,Gunn,Johnston,Mitchell (NT),Rosebery (NT),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0835,835,5198,Howard Springs,Virginia (NT),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0836,836,7086,Girraween (NT),Herbert,Humpty Doo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0837,837,527,Noonamah,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0838,838,735,Berry Springs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0840,840,555,Dundee Beach,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
